,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_cm,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price,Weight_lbs,Screen_Size_inch,Price-binned,Screen-Full_HD,Screen-IPS_Panel
0,Acer,4,2,1,5,35.56,0.5517241379310345,8,256,1.6,978,3.53,14.0,Low,0,1
1,Dell,3,1,1,3,39.62,0.6896551724137931,4,256,2.2,634,4.85,15.6,Low,1,0
2,Dell,3,1,1,7,39.62,0.9310344827586208,8,256,2.2,946,4.85,15.6,Low,1,0
3,Dell,4,2,1,5,33.78,0.5517241379310345,8,128,1.22,1244,2.69,13.3,Low,0,1
4,HP,4,2,1,7,39.62,0.6206896551724138,8,256,1.91,837,4.21,15.6,Low,1,0
5,Dell,3,1,1,5,39.62,0.5517241379310345,8,256,2.2,1016,4.85,15.6,Low,1,0
6,HP,3,3,1,5,39.62,0.5517241379310345,8,256,2.1,1117,4.63,15.6,Low,1,0
7,Acer,3,2,1,5,38.1,0.5517241379310345,4,256,2.2,866,4.85,15.0,Low,0,1
8,Dell,3,1,1,5,39.62,0.8620689655172414,4,256,2.3,812,5.07,15.6,Low,1,0
9,Acer,3,3,1,7,38.1,0.6206896551724138,8,256,2.2,1068,4.85,15.0,Low,0,1
10,Dell,3,1,1,7,39.62,0.6206896551724138,8,256,2.13,975,4.7,15.6,Low,1,0
11,HP,3,2,1,3,39.62,0.6896551724137931,4,128,1.91,558,4.21,15.6,Low,1,0
12,Asus,3,2,2,3,39.62,0.6896551724137931,4,256,2.0,527,4.41,15.6,Low,1,0
13,Dell,4,2,1,5,35.56,0.5517241379310345,8,256,1.7,1117,3.75,14.0,Low,1,0
14,Asus,3,2,1,5,35.56,0.5517241379310345,8,256,1.4,1195,3.09,14.0,Low,1,0
15,HP,3,2,1,5,39.62,0.8620689655172414,8,256,1.86,876,4.1,15.6,Low,1,0
16,Dell,4,1,1,7,33.02,0.6206896551724138,8,256,1.4,1213,3.09,13.0,Low,0,1
17,Dell,3,1,1,7,39.62,0.6206896551724138,8,256,2.2,1105,4.85,15.6,Low,1,0
18,Dell,4,2,1,5,38.1,0.5517241379310345,8,256,1.88,1392,4.15,15.0,Low,0,1
19,HP,3,2,1,5,35.56,0.5517241379310345,8,256,1.63,1092,3.59,14.0,Low,1,0
20,HP,4,3,1,7,38.1,0.6206896551724138,8,256,1.83,888,4.04,15.0,Low,0,1
21,HP,3,2,1,5,39.62,0.8620689655172414,8,256,1.96,761,4.32,15.6,Low,1,0
22,Dell,4,2,1,7,33.02,0.6206896551724138,8,256,1.21,2095,2.67,13.0,Medium,0,1
23,Dell,1,3,1,5,39.62,0.8620689655172414,8,256,2.65,1518,5.84,15.6,Low,1,0
24,Asus,4,2,1,7,35.56,0.9310344827586208,8,256,1.25,1333,2.76,14.0,Low,1,0
25,Dell,3,1,2,3,39.62,0.6896551724137931,4,256,2.2,616,4.85,15.6,Low,1,0
26,Asus,3,3,1,3,39.62,0.8275862068965517,6,256,2.0,733,4.41,15.6,Low,1,0
27,HP,3,1,1,7,39.62,0.9310344827586208,8,256,1.91,913,4.21,15.6,Low,1,0
28,HP,4,3,1,7,33.02,0.9310344827586208,8,256,1.38,1421,3.04,13.0,Low,0,1
29,HP,3,3,1,5,35.56,0.8620689655172414,6,256,1.8622317596566522,837,4.11,14.0,Low,0,1
30,Asus,4,3,1,7,35.56,0.9310344827586208,8,256,1.3,1515,2.87,14.0,Low,0,1
31,Lenovo,3,2,1,7,35.56,0.9310344827586208,8,256,1.58,1880,3.48,14.0,Medium,0,1
32,Dell,4,2,1,5,33.02,0.5517241379310345,8,256,1.21,2069,2.67,13.0,Medium,0,1
33,Asus,3,3,1,7,39.62,0.6206896551724138,8,256,1.7,1420,3.75,15.6,Low,1,0
34,HP,3,2,1,5,43.94,0.5517241379310345,8,256,2.5,1179,5.51,17.3,Low,1,0
35,Acer,4,2,1,7,35.56,0.6206896551724138,8,256,1.6,1123,3.53,14.0,Low,0,1
36,Acer,3,3,1,3,39.62,0.9310344827586208,4,256,2.2,727,4.85,15.6,Low,1,0
37,HP,3,2,1,7,35.56,0.6206896551724138,8,256,1.63,1255,3.59,14.0,Low,1,0
38,HP,3,2,1,5,33.02,0.8620689655172414,4,256,1.8622317596566522,888,4.11,13.0,Low,0,1
39,Lenovo,3,1,1,5,35.56,0.5517241379310345,8,256,1.75,1418,3.86,14.0,Low,0,1
40,Asus,4,2,1,7,35.56,0.6206896551724138,8,256,1.25,1396,2.76,14.0,Low,1,0
